OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036JZ,2026-08-16T19:45:39.315744,14.85604921,.0067901,74.0271,8.9766,24.5797,124.9901,0,U,34062,999,92257,.70039112E-3,.6288E-4,0
COSMOS 2251 DEB,1993-036KB,2026-08-15T21:34:14.203200,14.43051282,.00224265,74.0321,173.8884,188.3492,228.4265,0,U,34064,999,91692,.1684381E-3,.54E-5,0
COSMOS 2251 DEB,1993-036KC,2026-08-16T13:29:26.714400,14.38274055,.00171514,74.0361,163.3911,208.8219,326.1401,0,U,34065,999,91753,.63865944E-4,.168E-5,0
COSMOS 2251 DEB,1993-036KH,2026-08-16T09:34:16.522176,14.83919473,.00192764,74.0002,348.5967,39.4903,23.1661,0,U,34070,999,92262,.92902189E-3,.7718E-4,0
COSMOS 2251 DEB,1993-036KK,2026-08-16T14:32:31.913952,14.60631973,.00434788,74.0565,294.2219,234.4203,245.9191,0,U,34114,999,91401,.7834059E-3,.3834E-4,0
COSMOS 2251 DEB,1993-036KL,2026-08-16T16:43:30.488160,14.83119722,.00304999,74.0046,113.4009,232.7766,127.0628,0,U,34115,999,93069,.42728775E-3,.3476E-4,0
COSMOS 2251 DEB,1993-036KM,2026-08-16T00:18:10.763712,14.54348852,.00111884,74.0386,77.6300,96.7645,64.3676,0,U,34116,999,92065,.27199868E-3,.1128E-4,0
COSMOS 2251 DEB,1993-036KN,2026-08-16T09:45:08.589888,14.40873496,.00585422,74.0361,247.7206,265.9172,93.5291,0,U,34117,999,91675,.22157258E-3,.697E-5,0
COSMOS 2251 DEB,1993-036KP,2026-08-16T22:18:33.105312,15.03996433,.00540523,73.9469,104.7580,230.5109,140.4287,0,U,34118,999,92881,.76110008E-3,.10833E-3,0
COSMOS 2251 DEB,1993-036KR,2026-08-16T13:07:43.965696,13.98905094,.01832548,73.9928,148.6050,282.4058,254.7185,0,U,34120,999,89431,.14967453E-3,.224E-5,0
COSMOS 2251 DEB,1993-036KS,2026-08-16T17:54:19.921824,13.92735837,.02375593,73.9913,33.5504,185.6429,188.9362,0,U,34121,999,88563,.66231545E-3,.1056E-4,0
COSMOS 2251 DEB,1993-036KT,2026-08-16T20:03:57.731904,14.67938466,.00791625,74.0370,1.9790,195.9335,318.4824,0,U,34122,999,92307,.64921409E-3,.3864E-4,0
